year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1826,CANADA,1,22.7021,-5.1655,2.80275
1826,FRANCE,1116,55.09475,12.83041667,2.23325
1826,GERMANY,1143,47.39195,8.551083333,2.154666667
1826,POLAND,333,46.09475,7.830416667000001,2.187583333
1826,UNITED KINGDOM,13686,48.4259,9.1255,2.459833333
1826,UNITED STATES,359,47.4422,8.579,2.3249166669999997
1827,AUSTRIA,130,43.3286,6.293666667,2.197
1827,CANADA,1,23.63765,-4.64575,2.80975
1827,FRANCE,1613,54.73775,12.63208333,2.3576666669999997
1827,GERMANY,1239,46.67285,8.151583333,2.166666667
1827,POLAND,357,46.11965,7.84425,2.2301666669999998
1827,UNITED KINGDOM,14255,47.28245,8.49025,2.31325
1827,UNITED STATES,395,48.3836,9.102,2.402916667
1828,AUSTRIA,125,43.42955,6.34975,2.427333333
1828,CANADA,1,22.8257,-5.096833333,2.560083333
1828,FRANCE,1704,55.8356,13.242,2.38875
1828,GERMANY,1239,47.13995,8.411083332999999,2.341166667
1828,POLAND,330,44.7926,7.107,2.455833333
1828,UNITED KINGDOM,14353,48.40025,9.11125,2.45075
1828,UNITED STATES,435,47.9273,8.8485,2.05525
1829,AUSTRIA,130,39.63215,4.240083333,2.714916667
1829,CANADA,1,21.57005,-5.794416667,2.64175
1829,FRANCE,1658,52.8203,11.56683333,2.659166667
1829,GERMANY,991,42.629,5.905,2.7255
1829,NORWAY,3,30.31865,-0.934083333,3.02675
1829,POLAND,291,41.06555,5.036416667,2.7294166669999997
1829,UNITED KINGDOM,14557,45.28205,7.378916667,2.759583333
1829,UNITED STATES,490,47.10065,8.38925,2.0924166669999997
1830,AUSTRIA,135,42.07145,5.59525,2.3824166669999998
1830,BELGIUM,1691,47.55065,8.63925,2.476416667
1830,CANADA,1,23.2361,-4.868833333,2.929666667
1830,FRANCE,1788,54.1766,12.32033333,2.548333333
1830,GERMANY,1308,45.12125,7.2895833329999995,2.320166667
1830,HUNGARY,31,48.7433,9.301833333,2.36425
1830,NORWAY,2,31.8644,-0.075333333,2.667916667
1830,POLAND,270,44.37695,6.8760833329999995,2.369416667
1830,SPAIN,1,56.2646,13.48033333,2.767583333
1830,UNITED KINGDOM,18522,46.39295,7.996083333,2.382666667
1830,UNITED STATES,570,48.58715,9.215083332999999,2.404583333
1831,AUSTRIA,131,43.27385,6.26325,3.2246666669999997
1831,BELGIUM,1218,50.11205,10.06225,3.258833333
1831,CANADA,1,21.605,-5.775,3.3245
1831,FRANCE,1652,55.0769,12.8205,3.177833333
1831,GERMANY,1253,47.2289,8.4605,3.265
1831,HUNGARY,19,49.1363,9.520166667,3.301
1831,NORWAY,1,32.3021,0.167833333,3.325333333
1831,POLAND,221,45.15695,7.309416667000001,3.286333333
1831,SPAIN,1,56.81345,13.78525,3.3489166669999997
1831,UNITED KINGDOM,17949,48.013999999999996,8.896666667,3.12925
1831,UNITED STATES,618,45.89735,7.72075,2.81225
1832,AUSTRIA,140,42.32,5.733333332999999,2.727416667
1832,BELGIUM,1287,48.00125,8.889583333,2.715666667
