g_m_date,g_land_avg_tempf,g_land_avg_tempc,g_land_avg_temp_uncert,g_land_max_tempf,g_land_max_tempc,g_land_max_temp_uncert,g_land_min_tempf,g_land_min_tempc,g_land_min_temp_uncert,g_land_ocean_avg_tempf,g_land_ocean_avg_tempc,g_land_ocean_avg_temp_uncert
1858-01-01,36.9302,2.739,1.094,48.2792,9.044,2.0669999999999997,27.1544,-2.692,2.052,55.797799999999995,13.220999999999998,0.34700000000000003
1858-02-01,36.1112,2.2840000000000003,0.662,46.0922,7.829,2.149,24.533599999999996,-4.1480000000000015,1.591,55.922,13.29,0.23600000000000002
1858-03-01,40.7012,4.834,0.757,50.792,10.44,1.837,29.354,-1.4700000000000002,1.325,57.2792,14.044,0.255
1858-04-01,46.85,8.25,0.6609999999999999,57.0416,13.912,1.7409999999999999,33.8738,1.041,1.479,58.9406,14.967,0.239
1858-05-01,51.531800000000004,10.850999999999999,0.624,61.26440000000001,16.258000000000006,2.225,38.955200000000005,3.8640000000000008,1.055,59.9738,15.541,0.231
1858-06-01,55.3208,12.956,0.688,66.14240000000001,18.968,1.6219999999999999,44.6684,7.0379999999999985,0.677,61.1096,16.172,0.248
1858-07-01,56.6186,13.677,0.754,65.4098,18.561,1.694,46.1984,7.888,0.845,61.718,16.51,0.266
1858-08-01,55.79600000000001,13.22,0.5579999999999999,64.8698,18.261,1.8619999999999999,45.075199999999995,7.2639999999999985,0.88,61.6802,16.489,0.21600000000000005
1858-09-01,52.0664,11.148,0.517,63.6062,17.559,1.227,41.909,5.505,1.374,60.4994,15.833,0.213
1858-10-01,47.858,8.809999999999997,0.62,59.1278,15.071,1.825,38.638400000000004,3.688,0.9209999999999999,59.205200000000005,15.114,0.24600000000000002
1858-11-01,42.782,5.99,0.774,49.6454,9.803,2.061,30.7688,-0.6840000000000002,1.2890000000000001,57.4412,14.134,0.276
1858-12-01,36.3992,2.444,0.688,47.282,8.49,2.13,28.463,-1.965,1.204,55.873400000000004,13.263,0.249
1859-01-01,35.627,2.015,1.0070000000000001,46.5332,8.074,1.7530000000000001,27.14,-2.7,1.295,55.504400000000004,13.058,0.326
1859-02-01,36.6998,2.611,1.0,48.1424,8.968,1.791,28.6556,-1.858,1.713,55.994,13.33,0.327
1859-03-01,41.041399999999996,5.023,0.9159999999999999,52.088,11.16,1.37,31.1756,-0.4580000000000001,1.035,57.3872,14.104,0.312
1859-04-01,47.3756,8.542,0.617,57.605000000000004,14.225,2.009,34.5812,1.4340000000000002,0.8640000000000001,59.3546,15.197,0.24600000000000002
